TransactionAmount,TransactionType,Location,Channel,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,DayOfWeek,IsWeekend,TransactionToBalanceRatio,AgeGroup,Target
-1.08028066800389,1,36,0,0,-0.5527842349622248,-0.20467178921058515,-0.0003258845689489035,-0.8484042481119082,-0.29776301247625364,0.0,-0.38328811412586494,1,1
0.37133949043293085,1,15,0,0,0.30903145938429577,-0.20467178921058515,2.23006142812661,-0.8484042481119082,-0.29776301247625364,0.0,-0.33289663411967313,1,0
-0.6305449734667885,1,23,2,3,-0.9118741076066084,-0.20467178921058515,-1.0294969120628485,1.8889102919797534,-0.9622474635656749,0.0,-0.1583382839381299,2,1
-0.3972195298036453,1,33,2,3,-1.3571455496856442,-0.20467178921058515,0.8913569981367818,-0.8484042481119082,1.6956903407920099,0.0,-0.34481203028052776,2,1
-1.0828460052989324,0,1,2,3,1.1277563690134904,-0.20467178921058515,0.5973855171340153,0.5202530219339225,-0.9622474635656749,0.0,-0.3852263277026431,0,0
-0.7673896847992007,1,28,0,3,0.7543029014633315,-0.20467178921058515,-1.1173715978754701,0.5202530219339225,-0.9622474635656749,0.0,-0.14734510911891308,2,1
-1.1083791280636501,0,39,0,0,0.28030426957274507,-0.20467178921058515,2.115997418773449,-0.8484042481119082,0.3667214386131676,0.0,-0.38784685227778165,0,1
-0.44964861077107215,0,16,1,2,2.4635706952505974,-0.20467178921058515,-0.5977225913569182,0.5202530219339225,-0.9622474635656749,0.0,-0.26330379670760706,1,0
-0.7109522643082703,0,11,1,1,-0.4809662604333481,-0.20467178921058515,1.0270575726291176,-0.8484042481119082,-0.29776301247625364,0.0,-0.36500032104880226,0,0
2.133886545707924,1,26,0,0,0.007395966363013566,-0.20467178921058515,-1.0554128121526543,-0.8484042481119082,1.6956903407920099,0.0,1.2474432008784735,0,1
-1.0654898951621616,0,0,2,1,-0.8687833228892824,-0.20467178921058515,0.6412674015102249,-0.8484042481119082,-0.29776301247625364,0.0,-0.38414171816490406,0,0
-0.3750934956339055,1,22,2,3,0.7686664963691068,-0.20467178921058515,-0.9246519160391359,0.5202530219339225,-0.9622474635656749,0.0,-0.13421759602196565,2,1
0.845445889272934,0,23,1,3,-0.12187638778896452,-0.20467178921058515,-0.9011246019434738,0.5202530219339225,0.3667214386131676,0.0,0.23663764606637405,2,1
1.9968013340041018,1,22,0,3,0.0504867510803396,-0.20467178921058515,-1.2700734361770936,-0.8484042481119082,-0.9622474635656749,0.0,8.056891628853966,2,1
-0.4674055548601929,1,21,2,3,0.20848629504386837,-0.20467178921058515,-1.2416373973008101,-0.8484042481119082,-0.9622474635656749,0.0,0.7520609075050431,2,0
0.7289234593246849,1,10,0,1,0.13666832051499167,-0.20467178921058515,-0.4250788974173646,-0.8484042481119082,-0.29776301247625364,0.0,-0.11369263672237874,0,0
1.091076935273233,0,2,1,3,0.5532125727824766,-0.20467178921058515,-1.0271986073967774,-0.8484042481119082,-0.9622474635656749,0.0,0.6179285825896395,2,0
0.8390726294305634,1,8,2,1,1.6448457856214027,-0.20467178921058515,-0.0009036850686120773,1.8889102919797534,1.0312058897025889,0.0,-0.19124749309255576,0,0
-1.0618823895910086,0,0,1,2,-0.19369436231784123,-0.20467178921058515,0.7312520909332237,-0.8484042481119082,-0.29776301247625364,0.0,-0.3841201058424475,1,0
-0.8502420627500197,0,8,2,3,0.7112121167460054,-0.20467178921058515,0.37534245993977217,1.8889102919797534,1.0312058897025889,0.0,-0.3666352341319698,2,0
-0.8989834713558232,1,20,1,2,-1.1704188159105646,-0.20467178921058515,0.16441948289752967,-0.8484042481119082,-0.29776301247625364,0.0,-0.3677975558837013,1,0
-0.7929628909591536,1,19,1,0,-0.3804210960929207,-0.20467178921058515,1.0402257491951035,1.8889102919797534,1.6956903407920099,0.0,-0.36971830459407123,0,0
-0.9275228487631687,1,1,2,1,0.007395966363013566,-0.20467178921058515,0.9960498056360299,1.8889102919797534,-0.29776301247625364,0.0,-0.377017000017769,0,0
0.24948596891842192,1,13,2,3,0.32339505429007115,3.159704353695441,-0.9572331576071995,1.8889102919797534,-0.29776301247625364,0.0,0.11640810384969623,2,0
-0.5533844376393448,1,33,2,3,-0.33733031137559466,-0.20467178921058515,-0.8209186700839716,-0.8484042481119082,1.0312058897025889,0.0,-0.23447344292281538,2,1
-1.1067357088590137,0,15,2,2,2.248116771663967,-0.20467178921058515,-0.38145238022627437,0.5202530219339225,1.6956903407920099,0.0,-0.3847133055188328,1,0
-0.1469788933513169,1,24,0,3,0.5532125727824766,6.524080496601467,-1.1453149586471298,-0.8484042481119082,-0.9622474635656749,0.0,0.36259625266893286,2,1
-0.9751419223023913,1,25,1,1,-0.35169390628137004,-0.20467178921058515,-0.626024497974351,-0.8484042481119082,0.3667214386131676,0.0,-0.35817928453100706,0,1
-0.6258952996195245,1,19,2,0,1.113392774107715,-0.20467178921058515,-0.861906393028832,-0.8484042481119082,-0.29776301247625364,0.0,-0.24154347180424024,0,0
-0.9116097408548595,1,11,1,3,2.3486619360043948,-0.20467178921058515,-0.9703394269767928,-0.8484042481119082,0.3667214386131676,0.0,-0.30377506781642355,2,0
-1.0232820799796691,0,24,2,0,-1.4289635242145209,-0.20467178921058515,0.8308452931296402,0.5202530219339225,-0.9622474635656749,0.0,-0.38197532235654835,1,1
-0.899785139260524,1,3,0,0,1.9752084684542357,-0.20467178921058515,1.214971708345485,-0.8484042481119082,-0.9622474635656749,0.0,-0.3766031660856838,2,0
0.45234803220293807,1,27,0,1,0.69684852184023,3.159704353695441,1.1805384098186795,-0.8484042481119082,-0.9622474635656749,0.0,-0.3050921428665966,0,1
2.38180234523662,1,20,2,3,0.43830381353627385,-0.20467178921058515,-1.216082622523294,0.5202530219339225,-0.9622474635656749,0.0,4.119667207529697,2,0
-0.11358942512053213,0,37,1,0,-0.9980556770412605,-0.20467178921058515,2.5027007210391314,-0.8484042481119082,1.6956903407920099,0.0,-0.35362857856281116,0,1
-0.6366777329377491,1,39,1,1,-1.0698736515701373,-0.20467178921058515,0.16798688508964682,-0.8484042481119082,-0.9622474635656749,0.0,-0.3445844772271006,0,1
-0.8235866049187209,1,25,1,3,0.3664858390073972,-0.20467178921058515,-1.0866940025964757,-0.8484042481119082,-0.29776301247625364,0.0,-0.21115101403441855,2,1
1.4657765139303476,1,38,0,2,0.2515770797611944,-0.20467178921058515,-0.061291575682968835,0.5202530219339225,1.0312058897025889,0.0,-0.11604100791827494,1,1
2.051114334547575,1,23,0,0,-0.42351188081024677,1.477516282242428,0.7226134575699552,0.5202530219339225,1.0312058897025889,0.0,-0.18301212772699402,1,1
0.20856082238345047,1,28,2,2,1.3863010773174465,-0.20467178921058515,-1.0560550993152265,0.5202530219339225,-0.29776301247625364,0.0,0.2858020896584842,0,1
0.17986111139516497,1,35,0,2,-0.006967628542761777,-0.20467178921058515,-0.20372971671602044,1.8889102919797534,-0.9622474635656749,0.0,-0.23324681824595722,1,1
-1.0003944613004636,1,30,2,0,-1.443327119120296,-0.20467178921058515,2.3475741842121356,-0.8484042481119082,-0.9622474635656749,0.0,-0.38403164197298034,0,1
-0.16906484412582168,0,5,2,0,-0.05005841326008781,-0.20467178921058515,2.126395248300871,1.8889102919797534,1.0312058897025889,0.0,-0.35189571671403097,1,0
-0.9150168294498375,1,40,0,3,-0.035694818354312464,-0.20467178921058515,-1.2566344156268905,-0.8484042481119082,0.3667214386131676,0.0,0.07993910272498236,2,1
0.08301962850731842,1,21,1,3,-1.2422367904394414,-0.20467178921058515,-1.0949482954488077,-0.8484042481119082,0.3667214386131676,0.0,0.32903377940428097,2,0
0.6079517725053469,1,6,1,2,-0.42351188081024677,-0.20467178921058515,-0.11354640837126219,0.5202530219339225,0.3667214386131676,0.0,-0.19805996111269614,1,0
-0.47742640366895184,1,3,1,3,-0.6389658043968769,-0.20467178921058515,-0.929692193612091,-0.8484042481119082,0.3667214386131676,0.0,-0.16558547167517726,2,0
0.9084569865824103,1,28,2,3,-0.20805795722361659,-0.20467178921058515,-1.1173664389424376,-0.8484042481119082,-0.9622474635656749,0.0,0.948734703547361,2,1
1.3760698753943377,1,10,2,3,0.26594067466696975,-0.20467178921058515,-1.2505159210500996,-0.8484042481119082,-0.9622474635656749,0.0,4.44979222498149,2,0
-1.0485346189777418,0,34,2,1,0.7973936861806574,-0.20467178921058515,-0.9746213413939399,-0.8484042481119082,-0.9622474635656749,0.0,-0.35515135426093886,0,1
0.5681489610369563,0,18,2,2,0.021759561268788908,-0.20467178921058515,-0.3110664773945308,-0.8484042481119082,-0.9622474635656749,0.0,-0.1658628022009797,1,0
0.5650224562086237,1,29,2,1,2.075753632794663,-0.20467178921058515,0.01815341355420913,0.5202530219339225,-0.29776301247625364,0.0,-0.22109385958806133,0,1
